sku,name,brand,category,packingUnit,company,unit,costPrice,minSellingPrice,minStock,maxStock,reorderLevel
custard-cream-mp-rs-10,Custard Cream MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
strawberry-fun-mp-rs-10,Strawberry Fun MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
lemon-sandwich-mp-rs-10,Lemon Sandwich MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
butter-cookies-mp-rs-10,Butter Cookies MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
coconut-cookies-mp-rs-10,Coconut Cookies MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
tea-time-mp-rs-10,Tea Time MP Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
biskut-egg-milk-cookies-rs-10,Biskut (Egg & Milk Cookies) Rs.10,,Midi Pack,1 X 18 X 16,Kims,CTN,2296,2296,0,,0
chocolate-sandwich-snack-pack-rs-5,Chocolate Sandwich Snack Pack Rs.5,,Snack Pack,1 X 18 X 30,Kims,CTN,2260,2260,0,,0
strawberry-fun-snack-pack-rs-5,Strawberry Fun Snack Pack Rs.5,,Snack Pack,1 X 18 X 30,Kims,CTN,2260,2260,0,,0
coco-nut-cookies-rs-5,Coco-Nut Cookies Rs.5,,Snack Pack,1 X 18 X 24,Kims,CTN,1738,1738,0,,0
duo-chocolate-vanilla-sandwich-rs-5,Duo Chocolate Vanilla Sandwich Rs.5,,Snack Pack,1 X 18 X 30,Kims,CTN,2260,2260,0,,0
yumtum-strawberry-vanilla-rs-5,Yumtum (Strawberry & Vanilla) Rs.5,,Snack Pack,1 X 18 X 30,Kims,CTN,2260,2260,0,,0
smilish-snack-pack-rs-5,Smilish Snack Pack Rs.5,,Snack Pack,1 X 18 X 30,Kims,CTN,2260,2260,0,,0
biskut-egg-milk-cookies-rs-5,Biskut (Egg & Milk Cookies) Rs.5,,Snack Pack,1 X 18 X 30,Kims,CTN,2260,2260,0,,0
hi-panda-chocolate-filled-biscuits-rs-10,Hi Panda (Chocolate Filled Biscuits) Rs.10,,Chocolate Filled Biscuits,1 X 18 X 16,Kims,CTN,2224,2224,0,,0
fun-fruit-jelly-jar-rs-10,Fun Fruit Jelly Jar Rs.10,,Liquid Jelly,1 X 12 X 30,Kims,CTN,2890,2890,0,,0
khopra-maza-candy-rs-5-30-pieces,Khopra Maza Candy Rs.5 (30 pieces),,Candy Box,1 X 18 X 30,Kims,CTN,1900,1900,0,,0
fanto-maza-candy-rs-5-30-pieces,Fanto Maza Candy Rs.5 (30 pieces),,Candy Box,1 X 18 X 30,Kims,CTN,1900,1900,0,,0
joy-lip-candy-amrood-rs-5,Joy Lip Candy (Amrood) Rs.5,,Candy Box,1 X 18 X 30,Kims,CTN,1900,1900,0,,0
coffee-blend-candy-rs-5-30-pieces,Coffee Blend Candy Rs.5 (30 pieces),,Candy Box,1 X 18 X 30,Kims,CTN,1900,1900,0,,0
joy-lip-candy-amrood-jar-rs-5,Joy Lip Candy (Amrood) Jar Rs.5,,Candy Box,1 X 12 X 50,Kims,CTN,2110,2110,0,,0
butter-scotch-candy-rs-5-jar-50-pieces,Butter Scotch Candy Rs.5 Jar (50 pieces),,Candy Box,1 X 12 X 50,Kims,CTN,2110,2110,0,,0
sona-halwa-toffee-rs-2,Sona Halwa Toffee Rs.2,,Toffee Box,1 X 24 X 75,Kims,CTN,2770,2770,0,,0
milk-toffo-box-rs-1,Milk Toffo Box Rs.1,,Toffee Box,1 X 18 X 150,Kims,CTN,2260,2260,0,,0
prime-toffo-chocolate-box-rs-1,Prime Toffo Chocolate Box Rs.1,,Toffee Box,1 X 18 X 150,Kims,CTN,2260,2260,0,,0
mil-cane-milk-cream-candy-box-rs-2,Mil-Cane Milk Cream Candy Box Rs.2,,Candy Box,1 X 24 X 75,Kims,CTN,2554,2554,0,,0
mango-maza-candy-box-rs-2,Mango Maza Candy Box Rs.2,,Candy Box,1 X 24 X 75,Kims,CTN,2554,2554,0,,0
pinky-strawberry-cream-candy-box-rs-2,Pinky Strawberry Cream Candy Box Rs.2,,Candy Box,1 X 24 X 75,Kims,CTN,2554,2554,0,,0
amrood-maza-candy-rs-2,Amrood Maza Candy Rs.2,,Candy Box,1 X 24 X 75,Kims,CTN,2554,2554,0,,0
